,place,total,located_in,type
0,afghanistan,12364,,country
1,albania,245,,country
2,algeria,448,Africa,country
3,andorra,6,,country
4,angola,263,Africa,country
5,antigua-and-barbuda,42,,country
6,argentina,1513,,country
7,armenia,235,,country
8,austria,1165,,country
9,azerbaijan,337,,country
10,bahamas,127,,country
11,bahrain,681,,country
12,bangladesh,1286,,country
13,barbados,64,,country
14,belarus,494,,country
15,belgium,1316,,country
16,belize,78,,country
17,benin,82,Africa,country
18,bhutan,83,,country
19,bolivia,547,,country
20,bosnia-and-herzegovina,698,,country
21,botswana,128,Africa,country
22,brazil,4288,,country
23,brunei,61,,country
24,bulgaria,361,,country
25,burkina-faso,161,Africa,country
26,burundi,197,Africa,country
27,cambodia,601,,country
28,cameroon,219,Africa,country
29,canada,4203,,country
30,central-african-republic,289,Africa,country
31,chad,229,Africa,country
32,chile,1349,,country
33,china,18520,,country
34,colombia,1448,,country
35,comoros,23,Africa,country
36,costa-rica,149,,country
37,croatia,372,,country
38,cuba,1722,,country
39,cyprus,846,,country
40,denmark,1089,,country
41,djibouti,28,Africa,country
42,dominica,29,,country
43,dominicanrepublic,123,,country
44,ecuador,640,,country
45,egypt,4300,Africa,country
46,el-salvador,327,,country
47,equatorial-guinea,196,Africa,country
48,eritrea,345,Africa,country
49,estonia,232,,country
50,ethiopia,1025,Africa,country
51,fiji,316,,country
52,finland,528,,country
53,france,16839,,country
54,gabon,77,Africa,country
55,gambia,169,Africa,country
56,germany,10648,,country
57,ghana,521,Africa,country
58,greece,5263,,country
59,grenada,36,,country
60,guatemala,453,,country
61,guinea,230,Africa,country
62,guinea-bissau,33,Africa,country
63,guyana,56,,country
64,haiti,1038,,country
65,honduras,434,,country
66,hungary,919,,country
67,iceland,770,,country
68,india,9240,,country
69,indonesia,3161,,country
70,iran,9308,,country
71,iraq,22457,,country
72,ireland,7444,,country
73,israel,16192,,country
74,italy,9374,,country
75,jamaica,628,,country
76,japan,6229,,country
77,jordan,700,,country
78,kazakhstan,254,,country
79,kenya,2250,Africa,country
80,kiribati,73,,country
81,kuwait,165,,country
82,kyrgyzstan,186,,country
83,laos,113,,country
84,latvia,192,,country
85,lebanon,1925,,country
86,lesotho,60,Africa,country
87,liberia,664,Africa,country
88,libya,4071,Africa,country
89,liechtenstein,23,,country
90,lithuania,197,,country
91,luxembourg,182,,country
92,madagascar,202,Africa,country
93,malawi,479,Africa,country
94,malaysia,1227,,country
95,maldives,145,,country
96,mali,573,Africa,country
97,malta,266,,country
98,marshall-islands,60,,country
99,mauritania,100,Africa,country
100,mauritius,122,Africa,country
101,mexico,3261,,country
102,micronesia,52,,country
103,moldova,92,,country
104,monaco,88,,country
105,mongolia,117,,country
106,montenegro,161,,country
107,morocco,476,Africa,country
108,mozambique,261,Africa,country
109,namibia,106,Africa,country
110,nauru,1026,,country
111,nepal,898,,country
112,netherlands,1744,,country
113,newzealand,3569,,country
114,nicaragua,280,,country
115,niger,249,Africa,country
116,nigeria,2095,Africa,country
117,north-korea,3412,,country
118,north-macedonia,480,,country
119,norway,1108,,country
120,oman,82,,country
121,pakistan,6696,,country
122,palau,34,,country
123,panama,152,,country
124,papua-new-guinea,915,,country
125,paraguay,161,,country
126,peru,825,,country
127,philippines,1255,,country
128,poland,1921,,country
129,portugal,917,,country
130,qatar,972,,country
131,romania,596,,country
132,russia,16300,,country
133,rwanda,743,Africa,country
134,saint-kitts-and-nevis,24,,country
135,saint-vincent-and-the-grenadines,9,,country
136,samoa,114,,country
137,san-marino,10,,country
138,sao-tome-and-principe,7,Africa,country
139,saudiarabia,3560,,country
140,senegal,225,Africa,country
141,serbia,857,,country
142,seychelles,47,Africa,country
143,sierraleone,961,Africa,country
144,singapore,488,,country
145,slovakia,189,,country
146,slovenia,134,,country
147,solomonislands,97,,country
148,somalia,1434,Africa,country
149,southafrica,4849,Africa,country
150,south-sudan,604,Africa,country
151,spain,7037,,country
152,srilanka,1252,,country
153,sudan,1809,Africa,country
154,suriname,17,,country
155,sweden,1715,,country
156,switzerland,1330,,country
157,syria,10473,,country
158,tajikistan,73,,country
159,tanzania,511,Africa,country
160,thailand,1918,,country
161,timor-leste,535,,country
162,togo,43,Africa,country
163,tonga,71,,country
164,trinidad-and-tobago,250,,country
165,tunisia,874,Africa,country
166,turkey,4640,,country
167,turkmenistan,82,,country
168,tuvalu,56,,country
169,uganda,1733,Africa,country
170,ukraine,3348,,country
171,united-arab-emirates,1167,,country
172,uruguay,151,,country
173,uzbekistan,311,,country
174,vanuatu,135,,country
175,venezuela,1829,,country
176,vietnam,667,,country
177,yemen,1700,,country
178,zambia,278,Africa,country
179,zimbabwe,3251,Africa,country
180,state-of-georgia,4,,country
181,cape-verde,36,Africa,country
182,palestinian-territories,9486,,country
183,ivory-coast,438,Africa,country
184,vaticancitystate,0,,country
185,stlucia,38,,country
186,south-korea,2009,,country
187,congo,1367,Africa,country
188,myanmar,1870,,country
189,czech-republic,522,,country
190,eswatini,77,Africa,country
191,congo-brazzaville,51,,country
192,us,0,,country
193,uk,0,,country
194,au,0,,country
195,eswatini,77,Africa,country
196,middleeast,63514,world,region
197,africa,30296,world,region
198,americas,18885,world,region
199,south-and-central-asia,8779,world,region
200,asia-pacific,34472,world,region
201,europe-news,86892,world,region
